Gene_acc,Gene_id,146P1,146P2,146P3,146M1,146M2,146M3,Desc
0,GFP.BLA,760068.25,852408,639825.375,2785541.25,3407291.75,2630695.25,GFP.BLA
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,250983.5313,282580.7813,245342.9063,277150.5,329168.5625,296305.1563,"hypothetical protein, conserved"
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,1744456.375,1741980.75,1982828.75,1694455.625,1878801,1717725.75,"major vault protein, putative"
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,269244.1875,226433.0313,392021.0625,524077.5,578866.375,339511.25,"hypothetical protein, conserved"
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,1116758,1382692.125,1397902.25,1745068.875,2106280,1865904.75,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,4503434,4535943,4508826.5,4356030,4280938,4332757,"ras-like small GTPase, putative"
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,57878.59375,67133.3125,65149.21484,100037.5469,121821.2188,97657.67969,Kinetochore interacting protein 1
8,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,122132.3203,140643.7656,106801.8906,147519.7813,126986.5703,131073.3438,"hypothetical protein, conserved"
9,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,3860566.5,3855666.5,4293599,4406618,4531589,4493853,"guanine deaminase, putative"
10,Tb05.5K5.210:mRNA-p1,766183.75,816516.3125,872936.25,1090399.25,1315062.125,1033870.063,hypothetical protein
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,209668.8281,246994.0781,214961.1719,243175.9844,272976.9688,262280.2188,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,275710.2188,274800.7188,267011.4688,283390.0938,359018.1563,270857.2188,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,1393182,1467297.125,1451480.375,1921937.5,2068743.75,1950536.625,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,516083.875,100482.25,246603.6406,289106.7188,452965.5625,198424.1875,"hypothetical protein, conserved"
16,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,1020700.688,525145.4375,433090.8438,542370.3125,688021.4375,550443.75,"hypothetical protein, conserved"
17,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,231163.1563,231795.7188,290637.375,275403.7188,332996.8125,271612.8125,"hypothetical protein, conserved"
18,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,2275421.75,2180675,2192292.5,3019977.75,2598156,3069867.5,"nucleolar RNA helicase II, putative"
19,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,402885.1875,408039.5,405131.1563,265101.5313,254998.4844,173547.5,"calcium/calmodulin-dependent protein kinase, putative"
20,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,224164.2656,242081.5156,142827.4063,223355.1094,298506.5313,189090.3438,"dynein light chain, putative"
21,Tb06.3A7.960:mRNA-p1,1278985.625,993237.25,854179.625,1064264.25,1073813,1051417.75,hypothetical protein
22,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,1733261.125,1780967.25,2209375.25,822159.8125,1027517.188,776785.9375,"zinc finger protein family member, putative"
